Name,Footfall,Latitude,Longitude,OutputArea,,,,,,,,,Names
Game,73,50.7255,-1.1869,E00087310,,,,,,,,,
Best Buy,172,50.7242,-1.19089,E00087311,,,,,,,,,
Tescos,77,50.7228,-1.18718,E00087312,,,,,,,,,
Iceland,97,50.7217,-1.18661,E00087314,,,,,,,,,
Boots,143,50.7328,-1.2229,E00087713,,,,,,,,,
Best Buy,100,50.7284,-1.23298,E00087714,,,,,,,,,
Iceland,146,50.7296,-1.23702,E00087715,,,,,,,,,
Boots,149,50.7282,-1.23251,E00087716,,,,,,,,,
B&Q,164,50.7273,-1.24293,E00087717,,,,,,,,,
Argos,146,50.7255,-1.23865,E00087718,,,,,,,,,
Boots,91,50.7266,-1.22994,E00087719,,,,,,,,,
Apple,72,50.7251,-1.23412,E00087711,,,,,,,,,
Nationwide,139,50.7187,-1.24393,E00087712,,,,,,,,,
Boots,67,50.7243,-1.22969,E00087720,,,,,,,,,
Argos,118,50.724,-1.23297,E00087721,,,,,,,,,
B&Q,83,50.7225,-1.23854,E00087722,,,,,,,,,
Apple,117,50.7234,-1.23433,E00087723,,,,,,,,,
Apple,196,50.7191,-1.17334,E00087283,,,,,,,,,
Best Buy,89,50.7186,-1.17003,E00087284,,,,,,,,,
Argos,184,50.717,-1.16947,E00087285,,,,,,,,,
HMV,191,50.7177,-1.17202,E00087287,,,,,,,,,
Argos,69,50.7163,-1.17497,E00087288,,,,,,,,,
Iceland,186,50.7095,-1.20741,E00087279,,,,,,,,,
B&Q,124,50.7046,-1.17656,E00087280,,,,,,,,,
Nationwide,166,50.72,-1.17156,E00087281,,,,,,,,,
HMV,105,50.7173,-1.17772,E00087282,,,,,,,,,
Best Buy,132,50.7171,-1.17396,E00087286,,,,,,,,,
Boots,155,50.7295,-1.17781,E00087557,,,,,,,,,
Best Buy,81,50.7317,-1.16878,E00087558,,,,,,,,,
Apple,196,50.7295,-1.17321,E00087560,,,,,,,,,
HMV,123,50.7267,-1.17148,E00087565,,,,,,,,,
Iceland,105,50.7259,-1.16744,E00087566,,,,,,,,,
B&Q,180,50.7253,-1.17716,E00087579,,,,,,,,,
Apple,90,50.7231,-1.18206,E00087582,,,,,,,,,
HMV,129,50.7226,-1.18,E00087584,,,,,,,,,
Argos,178,50.7263,-1.18042,E00087585,,,,,,,,,
HMV,82,50.7272,-1.17738,E00087586,,,,,,,,,
Superdrug,123,50.7242,-1.1716,E00087578,,,,,,,,,
Argos,103,50.7242,-1.16646,E00087580,,,,,,,,,
Apple,163,50.7244,-1.17617,E00087581,,,,,,,,,
HMV,110,50.7221,-1.16914,E00087583,,,,,,,,,
Apple,88,50.7254,-1.16449,E00087587,,,,,,,,,
HMV,63,50.7233,-1.16154,E00087571,,,,,,,,,
HMV,163,50.7228,-1.16555,E00087573,,,,,,,,,
Argos,167,50.7219,-1.16207,E00087574,,,,,,,,,
Boots,89,50.7205,-1.16836,E00087575,,,,,,,,,
WHSmits,200,50.7188,-1.16659,E00087576,,,,,,,,,
Apple,145,50.7255,-1.15785,E00087567,,,,,,,,,
Nationwide,178,50.7251,-1.15962,E00087568,,,,,,,,,
Iceland,103,50.7251,-1.16274,E00087569,,,,,,,,,
Argos,96,50.7252,-1.16106,E00087570,,,,,,,,,
Argos,126,50.7234,-1.16381,E00087572,,,,,,,,,
HMV,191,50.7268,-1.16137,E00087577,,,,,,,,,
Apple,76,50.7198,-1.14987,E00087588,,,,,,,,,
HMV,168,50.7189,-1.15261,E00087590,,,,,,,,,
Boots,132,50.7169,-1.15184,E00087592,,,,,,,,,
HMV,119,50.7214,-1.14657,E00087596,,,,,,,,,
Nationwide,162,50.7199,-1.1453,E00087589,,,,,,,,,
WHSmits,122,50.7183,-1.14928,E00087591,,,,,,,,,
HMV,104,50.7231,-1.14146,E00087593,,,,,,,,,
Best Buy,101,50.7161,-1.1482,E00087594,,,,,,,,,
Superdrug,183,50.7232,-1.14555,E00087595,,,,,,,,,
Argos,77,50.7205,-1.15539,E00087597,,,,,,,,,
Apple,145,50.7224,-1.15382,E00087600,,,,,,,,,
WHSmits,182,50.7213,-1.15376,E00087601,,,,,,,,,
Argos,144,50.7202,-1.15674,E00087602,,,,,,,,,
Game,77,50.7223,-1.15722,E00172701,,,,,,,,,
Apple,144,50.7231,-1.15538,E00172702,,,,,,,,,
WHSmits,121,50.7089,-1.28206,E00087421,,,,,,,,,
Tescos,128,50.7112,-1.25737,E00087422,,,,,,,,,
Iceland,196,50.7053,-1.28172,E00087423,,,,,,,,,
Argos,184,50.7014,-1.27388,E00087427,,,,,,,,,
B&Q,120,50.7036,-1.28777,E00087424,,,,,,,,,
B&Q,83,50.7045,-1.28527,E00087425,,,,,,,,,
B&Q,145,50.7036,-1.28358,E00087426,,,,,,,,,
Iceland,146,50.7028,-1.27929,E00087428,,,,,,,,,
Tescos,193,50.703,-1.28287,E00087429,,,,,,,,,
Game,67,50.701,-1.28616,E00087526,,,,,,,,,
HMV,115,50.6966,-1.28194,E00087529,,,,,,,,,
Game,168,50.6973,-1.28708,E00087530,,,,,,,,,
WHSmits,179,50.6995,-1.28738,E00087532,,,,,,,,,
Apple,138,50.6986,-1.27089,E00087534,,,,,,,,,
Superdrug,83,50.6998,-1.2817,E00087527,,,,,,,,,
Boots,182,50.6976,-1.28473,E00087528,,,,,,,,,
Nationwide,191,50.6999,-1.28408,E00087531,,,,,,,,,
HMV,169,50.7005,-1.2793,E00087533,,,,,,,,,
B&Q,98,50.7221,-1.3053,E00087538,,,,,,,,,
Argos,161,50.7201,-1.30492,E00087539,,,,,,,,,
Apple,95,50.7147,-1.3011,E00087541,,,,,,,,,
Game,143,50.712,-1.305,E00172713,,,,,,,,,
B&Q,121,50.7166,-1.30366,E00172725,,,,,,,,,
Best Buy,147,50.6993,-1.32384,E00087345,,,,,,,,,
Superdrug,138,50.6986,-1.32154,E00087346,,,,,,,,,
Game,92,50.6974,-1.32342,E00087347,,,,,,,,,
Game,85,50.6959,-1.32282,E00087348,,,,,,,,,
B&Q,162,50.7054,-1.29819,E00087495,,,,,,,,,
Best Buy,144,50.704,-1.29847,E00087497,,,,,,,,,
Apple,88,50.702,-1.30467,E00087498,,,,,,,,,
Tescos,186,50.7019,-1.30272,E00087499,,,,,,,,,
Tescos,178,50.7006,-1.29886,E00087500,,,,,,,,,
WHSmits,194,50.6993,-1.29168,E00087492,,,,,,,,,
Apple,61,50.6997,-1.29954,E00087493,,,,,,,,,
Best Buy,83,50.6981,-1.2978,E00087494,,,,,,,,,
Nationwide,98,50.7019,-1.29488,E00087496,,,,,,,,,
Superdrug,117,50.7013,-1.29592,E00087501,,,,,,,,,
Boots,126,50.6984,-1.30178,E00087506,,,,,,,,,
Apple,110,50.6977,-1.30075,E00087507,,,,,,,,,
Superdrug,162,50.6964,-1.30158,E00087508,,,,,,,,,
Iceland,150,50.6971,-1.2967,E00087509,,,,,,,,,
Tescos,142,50.6971,-1.29916,E00087510,,,,,,,,,
Iceland,114,50.7072,-1.30242,E00087535,,,,,,,,,
Iceland,181,50.7054,-1.30019,E00087537,,,,,,,,,
Iceland,66,50.7089,-1.3042,E00087543,,,,,,,,,
Boots,158,50.7102,-1.31134,E00172719,,,,,,,,,
HMV,108,50.709,-1.30842,E00172721,,,,,,,,,
WHSmits,133,50.7144,-1.30642,E00172722,,,,,,,,,
Argos,156,50.7122,-1.3125,E00172724,,,,,,,,,
Apple,108,50.6885,-1.09009,E00087289,,,,,,,,,
B&Q,106,50.6888,-1.0875,E00087290,,,,,,,,,
Iceland,200,50.6859,-1.08986,E00087291,,,,,,,,,
Iceland,194,50.693,-1.09154,E00087292,,,,,,,,,
Tescos,163,50.6846,-1.0872,E00087293,,,,,,,,,
Best Buy,153,50.6919,-1.08501,E00087294,,,,,,,,,
Boots,90,50.6906,-1.08591,E00087295,,,,,,,,,
Nationwide,71,50.6879,-1.07572,E00087296,,,,,,,,,
Iceland,134,50.6858,-1.07881,E00087297,,,,,,,,,
Game,71,50.6883,-1.08213,E00087298,,,,,,,,,
Argos,166,50.6844,-1.07345,E00087299,,,,,,,,,
Argos,84,50.6852,-1.08174,E00087300,,,,,,,,,
Tescos,79,50.6845,-1.07677,E00087301,,,,,,,,,
Nationwide,169,50.6834,-1.08062,E00087302,,,,,,,,,
Superdrug,137,50.6808,-1.08559,E00087303,,,,,,,,,
Apple,117,50.6961,-1.11491,E00087322,,,,,,,,,
HMV,86,50.6957,-1.11262,E00087323,,,,,,,,,
Superdrug,175,50.6979,-1.10932,E00087324,,,,,,,,,
Game,93,50.6945,-1.10999,E00087325,,,,,,,,,
Best Buy,60,50.6979,-1.11346,E00087326,,,,,,,,,
Boots,60,50.7175,-1.1129,E00087629,,,,,,,,,
WHSmits,135,50.7115,-1.11749,E00087634,,,,,,,,,
Nationwide,108,50.7226,-1.12491,E00087635,,,,,,,,,
Game,107,50.7145,-1.13738,E00087636,,,,,,,,,
HMV,177,50.7204,-1.11376,E00087637,,,,,,,,,
Argos,88,50.7199,-1.11016,E00087638,,,,,,,,,
Superdrug,109,50.7102,-1.1096,E00087628,,,,,,,,,
Game,63,50.7142,-1.11402,E00087630,,,,,,,,,
Best Buy,92,50.7148,-1.10949,E00087631,,,,,,,,,
Iceland,86,50.7124,-1.11376,E00087632,,,,,,,,,
WHSmits,77,50.7108,-1.11305,E00087633,,,,,,,,,
Tescos,156,50.6949,-1.30503,E00087337,,,,,,,,,
HMV,189,50.6925,-1.30781,E00087340,,,,,,,,,
WHSmits,178,50.6991,-1.30347,E00087342,,,,,,,,,
Tescos,65,50.6984,-1.31027,E00087343,,,,,,,,,
Iceland,136,50.6955,-1.31793,E00087336,,,,,,,,,
Superdrug,70,50.6952,-1.31341,E00087338,,,,,,,,,
Best Buy,142,50.6943,-1.31699,E00087339,,,,,,,,,
WHSmits,97,50.6996,-1.31184,E00172715,,,,,,,,,
Nationwide,158,50.7003,-1.30829,E00172716,,,,,,,,,
Best Buy,124,50.6999,-1.30619,E00172718,,,,,,,,,
Boots,84,50.6719,-1.23549,E00087353,,,,,,,,,
Best Buy,128,50.6749,-1.28089,E00087354,,,,,,,,,
Iceland,67,50.6609,-1.2482,E00087355,,,,,,,,,
Tescos,90,50.653,-1.28225,E00087357,,,,,,,,,
Superdrug,85,50.6917,-1.30378,E00087474,,,,,,,,,
Argos,141,50.6893,-1.29476,E00087476,,,,,,,,,
Superdrug,118,50.6908,-1.29097,E00087479,,,,,,,,,
Best Buy,80,50.6921,-1.29621,E00087482,,,,,,,,,
Argos,83,50.6943,-1.30185,E00087475,,,,,,,,,
Game,117,50.6923,-1.2998,E00087477,,,,,,,,,
Argos,117,50.6919,-1.30594,E00087478,,,,,,,,,
Iceland,163,50.6953,-1.29988,E00087480,,,,,,,,,
Boots,108,50.694,-1.30348,E00087481,,,,,,,,,
Best Buy,137,50.6934,-1.29,E00087502,,,,,,,,,
Boots,175,50.6958,-1.29519,E00087503,,,,,,,,,
Superdrug,111,50.6946,-1.29621,E00087504,,,,,,,,,
B&Q,181,50.6934,-1.29143,E00087505,,,,,,,,,
WHSmits,63,50.6958,-1.29247,E00087511,,,,,,,,,
Game,171,50.6781,-1.52616,E00087431,,,,,,,,,
Nationwide,155,50.6843,-1.52827,E00087435,,,,,,,,,
Iceland,113,50.6823,-1.52522,E00087436,,,,,,,,,
Best Buy,62,50.6828,-1.51625,E00087437,,,,,,,,,
Best Buy,76,50.6803,-1.52058,E00087438,,,,,,,,,
Iceland,126,50.6859,-1.52408,E00087441,,,,,,,,,
HMV,126,50.6853,-1.51459,E00087443,,,,,,,,,
HMV,136,50.6876,-1.52722,E00087444,,,,,,,,,
Game,199,50.6868,-1.53008,E00087446,,,,,,,,,
B&Q,139,50.6836,-1.52502,E00087447,,,,,,,,,
Nationwide,102,50.7068,-1.47943,E00087639,,,,,,,,,
Argos,123,50.7054,-1.49646,E00087644,,,,,,,,,
Nationwide,134,50.7046,-1.49695,E00087645,,,,,,,,,
HMV,119,50.696,-1.46936,E00087646,,,,,,,,,
HMV,73,50.6755,-1.54584,E00087678,,,,,,,,,
Best Buy,198,50.6822,-1.53417,E00087682,,,,,,,,,
Iceland,140,50.6828,-1.5421,E00087683,,,,,,,,,
HMV,111,50.6789,-1.54249,E00087686,,,,,,,,,
HMV,178,50.6776,-1.53582,E00087687,,,,,,,,,
Superdrug,103,50.6851,-1.53408,E00087679,,,,,,,,,
Apple,125,50.6831,-1.53701,E00087680,,,,,,,,,
Superdrug,92,50.6847,-1.53048,E00087681,,,,,,,,,
Nationwide,152,50.6855,-1.53828,E00087684,,,,,,,,,
Nationwide,64,50.6817,-1.54021,E00087685,,,,,,,,,
Apple,162,50.6791,-1.51817,E00087430,,,,,,,,,
Argos,89,50.6744,-1.51771,E00087432,,,,,,,,,
Best Buy,147,50.6748,-1.51658,E00087433,,,,,,,,,
B&Q,177,50.6731,-1.51245,E00087434,,,,,,,,,
Game,95,50.6756,-1.50614,E00087439,,,,,,,,,
WHSmits,60,50.6931,-1.52558,E00087440,,,,,,,,,
Tescos,114,50.6868,-1.51269,E00087442,,,,,,,,,
Boots,78,50.6885,-1.5338,E00087445,,,,,,,,,
B&Q,128,50.7031,-1.51551,E00087448,,,,,,,,,
Argos,105,50.6386,-1.40386,E00087327,,,,,,,,,
Game,105,50.6533,-1.44835,E00087329,,,,,,,,,
Boots,84,50.7097,-1.37387,E00087333,,,,,,,,,
Best Buy,71,50.6786,-1.40099,E00087334,,,,,,,,,
WHSmits,165,50.7276,-1.35822,E00087335,,,,,,,,,
Iceland,196,50.6423,-1.39739,E00087328,,,,,,,,,
Game,132,50.6431,-1.40203,E00087330,,,,,,,,,
Argos,116,50.6468,-1.40546,E00087331,,,,,,,,,
Nationwide,134,50.647,-1.39984,E00087332,,,,,,,,,
Best Buy,194,50.6864,-1.33782,E00087344,,,,,,,,,
Superdrug,162,50.6931,-1.31961,E00087349,,,,,,,,,
Best Buy,68,50.6912,-1.31455,E00087350,,,,,,,,,
Tescos,73,50.6921,-1.31726,E00087351,,,,,,,,,
Game,191,50.6889,-1.31884,E00087352,,,,,,,,,
Tescos,110,50.7077,-1.44443,E00087640,,,,,,,,,
Best Buy,190,50.699,-1.42048,E00087641,,,,,,,,,
Best Buy,101,50.6909,-1.4424,E00087642,,,,,,,,,
HMV,116,50.7008,-1.41923,E00087643,,,,,,,,,
WHSmits,117,50.6754,-1.14409,E00087315,,,,,,,,,
B&Q,107,50.6801,-1.13921,E00087316,,,,,,,,,
HMV,162,50.6801,-1.14404,E00087317,,,,,,,,,
Boots,137,50.679,-1.14096,E00087318,,,,,,,,,
Boots,117,50.6748,-1.15813,E00087319,,,,,,,,,
Apple,172,50.6704,-1.14764,E00087320,,,,,,,,,
Best Buy,156,50.6828,-1.14462,E00087321,,,,,,,,,
Superdrug,88,50.6618,-1.15287,E00087607,,,,,,,,,
Nationwide,82,50.6588,-1.14967,E00087608,,,,,,,,,
Tescos,131,50.6648,-1.13857,E00087609,,,,,,,,,
Boots,115,50.6602,-1.15457,E00087610,,,,,,,,,
HMV,133,50.6595,-1.15141,E00087611,,,,,,,,,
Superdrug,60,50.6643,-1.13501,E00087616,,,,,,,,,
Iceland,180,50.6579,-1.15904,E00087612,,,,,,,,,
Best Buy,192,50.6574,-1.15522,E00087613,,,,,,,,,
Apple,71,50.6561,-1.15191,E00087614,,,,,,,,,
Nationwide,186,50.6578,-1.15095,E00087615,,,,,,,,,
Iceland,171,50.6523,-1.15936,E00087617,,,,,,,,,
Game,154,50.6562,-1.15771,E00087623,,,,,,,,,
Tescos,159,50.6546,-1.15719,E00087624,,,,,,,,,
HMV,154,50.6554,-1.15458,E00087625,,,,,,,,,
Superdrug,189,50.6542,-1.15478,E00087626,,,,,,,,,
Boots,136,50.6536,-1.16058,E00087627,,,,,,,,,
Iceland,165,50.6635,-1.15424,E00087618,,,,,,,,,
Apple,180,50.6609,-1.16138,E00087619,,,,,,,,,
Tescos,98,50.6618,-1.15686,E00087620,,,,,,,,,
Boots,198,50.6604,-1.15967,E00087621,,,,,,,,,
B&Q,132,50.6564,-1.16145,E00087622,,,,,,,,,
Game,187,50.6518,-1.16861,E00087456,,,,,,,,,
Argos,157,50.6534,-1.17019,E00087458,,,,,,,,,
Argos,156,50.6494,-1.1643,E00087461,,,,,,,,,
WHSmits,156,50.6492,-1.16656,E00087463,,,,,,,,,
Argos,177,50.654,-1.16578,E00087464,,,,,,,,,
Iceland,167,50.6441,-1.17689,E00087466,,,,,,,,,
Apple,190,50.6456,-1.17755,E00087467,,,,,,,,,
Best Buy,162,50.6429,-1.17201,E00087469,,,,,,,,,
Superdrug,195,50.6465,-1.17265,E00087473,,,,,,,,,
HMV,122,50.6661,-1.20697,E00087483,,,,,,,,,
Nationwide,68,50.6637,-1.19068,E00087484,,,,,,,,,
B&Q,63,50.6541,-1.20187,E00087485,,,,,,,,,
Tescos,119,50.6659,-1.19017,E00087491,,,,,,,,,
Apple,188,50.6535,-1.2063,E00087486,,,,,,,,,
Argos,148,50.6523,-1.2016,E00087487,,,,,,,,,
Boots,172,50.6523,-1.20237,E00087488,,,,,,,,,
Iceland,153,50.6467,-1.20086,E00087489,,,,,,,,,
Nationwide,75,50.6431,-1.21055,E00087490,,,,,,,,,
Nationwide,85,50.6324,-1.18252,E00087648,,,,,,,,,
Apple,183,50.6296,-1.19172,E00087649,,,,,,,,,
Tescos,161,50.6302,-1.19438,E00087651,,,,,,,,,
Game,156,50.6282,-1.18913,E00087652,,,,,,,,,
Nationwide,67,50.6311,-1.18635,E00087656,,,,,,,,,
Iceland,196,50.6353,-1.1808,E00087657,,,,,,,,,
Argos,198,50.6388,-1.17885,E00087659,,,,,,,,,
Apple,130,50.6361,-1.17891,E00087662,,,,,,,,,
Argos,84,50.6418,-1.17918,E00087663,,,,,,,,,
Tescos,192,50.6404,-1.17734,E00087666,,,,,,,,,
Argos,110,50.6487,-1.1736,E00087457,,,,,,,,,
Iceland,85,50.6503,-1.16984,E00087459,,,,,,,,,
Best Buy,160,50.6497,-1.17195,E00087460,,,,,,,,,
Tescos,75,50.649,-1.16908,E00087462,,,,,,,,,
Nationwide,107,50.6454,-1.16673,E00087465,,,,,,,,,
HMV,131,50.6438,-1.16981,E00087468,,,,,,,,,
Tescos,93,50.6487,-1.16281,E00087470,,,,,,,,,
Superdrug,194,50.647,-1.16832,E00087471,,,,,,,,,
Superdrug,113,50.6445,-1.16826,E00087472,,,,,,,,,
WHSmits,109,50.6329,-1.17344,E00087647,,,,,,,,,
Tescos,142,50.632,-1.17826,E00087650,,,,,,,,,
Tescos,184,50.6337,-1.17705,E00087653,,,,,,,,,
Apple,146,50.6347,-1.17579,E00087654,,,,,,,,,
B&Q,138,50.6321,-1.17606,E00087655,,,,,,,,,
Apple,182,50.6382,-1.17464,E00087658,,,,,,,,,
Best Buy,164,50.6373,-1.17416,E00087660,,,,,,,,,
HMV,111,50.6358,-1.17228,E00087661,,,,,,,,,
Nationwide,87,50.6395,-1.17152,E00087664,,,,,,,,,
WHSmits,151,50.6402,-1.17585,E00087665,,,,,,,,,
Tescos,65,50.6262,-1.18457,E00087671,,,,,,,,,
Superdrug,106,50.6268,-1.19307,E00087672,,,,,,,,,
HMV,83,50.6214,-1.17905,E00087674,,,,,,,,,
Game,112,50.63,-1.18051,E00087675,,,,,,,,,
Superdrug,116,50.6291,-1.18341,E00087677,,,,,,,,,
Argos,98,50.6292,-1.17761,E00087667,,,,,,,,,
Superdrug,174,50.6273,-1.17874,E00087668,,,,,,,,,
Nationwide,136,50.6279,-1.18096,E00087669,,,,,,,,,
B&Q,79,50.6288,-1.17449,E00087670,,,,,,,,,
Game,194,50.6254,-1.17964,E00087673,,,,,,,,,
Boots,141,50.6302,-1.1781,E00087676,,,,,,,,,
WHSmits,96,50.6524,-1.31081,E00087356,,,,,,,,,
Iceland,191,50.6525,-1.28009,E00087358,,,,,,,,,
Boots,130,50.6302,-1.34782,E00087359,,,,,,,,,
Apple,123,50.6429,-1.35527,E00087360,,,,,,,,,
B&Q,78,50.5988,-1.27892,E00087363,,,,,,,,,
Nationwide,171,50.6006,-1.26592,E00087364,,,,,,,,,
Superdrug,109,50.598,-1.26687,E00087365,,,,,,,,,
Apple,136,50.5889,-1.28009,E00087366,,,,,,,,,
B&Q,195,50.5851,-1.2849,E00087368,,,,,,,,,
Best Buy,170,50.6018,-1.31844,E00087361,,,,,,,,,
Tescos,176,50.6156,-1.31779,E00087362,,,,,,,,,
Best Buy,192,50.589,-1.28456,E00087367,,,,,,,,,
WHSmits,124,50.5809,-1.2892,E00087369,,,,,,,,,
Tescos,66,50.6354,-1.25967,E00087724,,,,,,,,,
Apple,118,50.632,-1.24748,E00087725,,,,,,,,,
HMV,163,50.6382,-1.25988,E00087726,,,,,,,,,
B&Q,147,50.6361,-1.25526,E00087727,,,,,,,,,
Boots,149,50.6354,-1.25737,E00087728,,,,,,,,,
Iceland,109,50.597,-1.20669,E00087690,,,,,,,,,
Superdrug,69,50.5961,-1.2044,E00087693,,,,,,,,,
Best Buy,96,50.5949,-1.19946,E00087695,,,,,,,,,
